/gps/hist/point 0.0	0.0
/gps/hist/point 0.092	0.0629738
/gps/hist/point 0.276	0.0849379
/gps/hist/point 0.46	0.0491746
/gps/hist/point 0.644	0.108352
/gps/hist/point 0.828	0.146824
/gps/hist/point 1.012	0.200088
/gps/hist/point 1.196	0.0930267
/gps/hist/point 1.38	0.31623
/gps/hist/point 1.564	1
/gps/hist/point 1.748	0.639785
/gps/hist/point 1.932	0.345163
/gps/hist/point 2.116	0.151854
/gps/hist/point 2.3	0.47319
/gps/hist/point 2.484	0.254108
/gps/hist/point 2.668	0.184731
/gps/hist/point 2.852	0.0888488
/gps/hist/point 3.036	0.156191
/gps/hist/point 3.22	0.214415
/gps/hist/point 3.404	0.166016
/gps/hist/point 3.588	0.259965
/gps/hist/point 3.772	0.167866
/gps/hist/point 3.956	0.173895
/gps/hist/point 4.14	0.18868
/gps/hist/point 4.324	0.174518
/gps/hist/point 4.508	0.191815
/gps/hist/point 4.692	0.184864
/gps/hist/point 4.876	0.1935
/gps/hist/point 5.06	0.180305
/gps/hist/point 5.244	0.234891
/gps/hist/point 5.428	0.187567
/gps/hist/point 5.612	0.201633
/gps/hist/point 5.796	0.239412
/gps/hist/point 5.98	0.233136
/gps/hist/point 6.164	0.286533
/gps/hist/point 6.348	0.279932
/gps/hist/point 6.532	0.275729
/gps/hist/point 6.716	0.215025
/gps/hist/point 6.9	0.221155
/gps/hist/point 7.084	0.200482
/gps/hist/point 7.268	0.336216
/gps/hist/point 7.452	0.257268
/gps/hist/point 7.636	0.30161
/gps/hist/point 7.82	0.27087
/gps/hist/point 8.004	0.265408
/gps/hist/point 8.188	0.188349
/gps/hist/point 8.372	0.300739
/gps/hist/point 8.556	0.331568
/gps/hist/point 8.74	0.214733
/gps/hist/point 8.924	0.242038
/gps/hist/point 9.108	0.257548
/gps/hist/point 9.292	0.242007
/gps/hist/point 9.476	0.11501
/gps/hist/point 9.66	0.192813
/gps/hist/point 9.844	0.25957
/gps/hist/point 10.028	0.11218
/gps/hist/point 10.212	0.0889759
/gps/hist/point 10.396	0.0820064
/gps/hist/point 10.58	0.0778857
/gps/hist/point 10.764	0.0706301
/gps/hist/point 10.948	0.064519
/gps/hist/point 11.132	0.0594572
/gps/hist/point 11.316	0.0533271
/gps/hist/point 11.5	0.0481571
/gps/hist/point 11.684	0.0441191
/gps/hist/point 11.868	0.0390255
/gps/hist/point 12.052	0.033296
/gps/hist/point 12.236	0.028603
/gps/hist/point 12.42	0.0255571
/gps/hist/point 12.604	0.0226446
/gps/hist/point 12.788	0.0189436
/gps/hist/point 12.972	0.0158023
/gps/hist/point 13.156	0.0126609
/gps/hist/point 13.34	0.011936
/gps/hist/point 13.524	0.00979931
/gps/hist/point 13.708	0.00850206
/gps/hist/point 13.892	0.00665157
/gps/hist/point 14.076	0.00520807
/gps/hist/point 14.26	0.00391082
/gps/hist/point 14.444	0.00367554
/gps/hist/point 14.628	0.00268988
/gps/hist/point 14.812	0.00209213
/gps/hist/point 14.996	0.00132268
/gps/hist/point 15.18	0.00101109
/gps/hist/point 15.364	0.000826678
/gps/hist/point 15.548	0.000635906
/gps/hist/point 15.732	0.000445134
/gps/hist/point 15.916	0.000286158
/gps/hist/point 16.1	0.000260721
/gps/hist/point 16.284	0.000228926
/gps/hist/point 16.468	0.000114463
/gps/hist/point 16.652	0.000127181
/gps/hist/point 16.836	6.35906e-05
/gps/hist/point 17.02	1.27181e-05
/gps/hist/point 17.204	0.0
